가구원수,가구형태,주거점유형태,주거면적,부채규모,수급여부,총소득,인당_주거면적,소득_대비_부채비율,면적당_소득
1.0,1.0,6.0,66.0,1500.0,0,1400.0,66.0,1.0706638115631693,20.895522388059703
1.0,1.0,2.0,16.0,54000.0,0,4140.0,16.0,13.04032842308621,243.52941176470588
1.0,1.0,1.0,82.0,3000.0,0,2400.0,82.0,1.2494793835901707,28.91566265060241
3.0,5.0,1.0,79.0,4400.0,0,7780.0,26.333333333333332,0.5654800154221823,97.25
2.0,5.0,1.0,122.0,0.0,0,524.0,61.0,0.0,4.260162601626016
1.0,1.0,1.0,53.0,0.0,0,2451.0,53.0,0.0,45.388888888888886
2.0,5.0,1.0,76.0,1500.0,0,2300.0,38.0,0.651890482398957,29.87012987012987
1.0,1.0,2.0,50.0,0.0,0,150.0,50.0,0.0,2.9411764705882355
2.0,5.0,1.0,86.0,3750.0,0,12645.0,43.0,0.2965364542147715,145.3448275862069
1.0,1.0,1.0,50.0,5700.0,0,780.0,50.0,7.298335467349552,15.294117647058824
3.0,5.0,1.0,79.0,7000.0,0,17315.0,26.333333333333332,0.40425040425040426,216.4375
3.0,5.0,1.0,102.0,9374.0,0,3140.0,34.0,2.9843998726520216,30.485436893203882
1.0,1.0,1.0,89.0,25000.0,0,5788.0,89.0,4.318535152876144,64.31111111111112
2.0,5.0,1.0,148.0,0.0,0,550.0,74.0,0.0,3.6912751677852347
1.0,1.0,1.0,73.0,0.0,0,290.0,73.0,0.0,3.918918918918919
5.0,5.0,1.0,112.0,30000.0,0,14280.0,22.4,2.1006932287654925,126.3716814159292
2.0,5.0,1.0,82.0,34168.0,0,13550.0,41.0,2.5214375322854403,163.25301204819277
1.0,1.0,1.0,82.0,0.0,0,1526.0,82.0,0.0,18.3855421686747
2.0,5.0,1.0,59.0,0.0,0,321.0,29.5,0.0,5.35
5.0,5.0,1.0,112.0,1300.0,0,9285.0,22.4,0.1399956924402326,82.16814159292035
3.0,5.0,1.0,112.0,2000.0,0,17944.0,37.333333333333336,0.11145165784341042,158.79646017699116
1.0,1.0,3.0,30.0,0.0,0,1476.0,30.0,0.0,47.61290322580645
4.0,5.0,1.0,106.0,26500.0,0,12785.0,26.5,2.0725793837009228,119.48598130841121
1.0,1.0,3.0,36.0,0.0,1,0.0,36.0,0.0,0.0
2.0,5.0,1.0,79.0,0.0,0,1740.0,39.5,0.0,21.75
1.0,1.0,1.0,66.0,800.0,1,300.0,66.0,2.6578073089700998,4.477611940298507
1.0,1.0,1.0,99.0,0.0,0,0.0,99.0,0.0,0.0
4.0,5.0,2.0,59.0,12100.0,0,7491.0,14.75,1.6150560597971169,124.85
2.0,5.0,1.0,99.0,0.0,0,450.0,49.5,0.0,4.5
1.0,1.0,1.0,99.0,0.0,0,3100.0,99.0,0.0,31.0
2.0,5.0,1.0,82.0,4000.0,0,9642.0,41.0,0.41480866950119255,116.16867469879519
1.0,1.0,3.0,59.0,0.0,0,7640.0,59.0,0.0,127.33333333333333
1.0,1.0,1.0,99.0,0.0,0,800.0,99.0,0.0,8.0
3.0,5.0,1.0,99.0,0.0,0,300.0,33.0,0.0,3.0
1.0,1.0,2.0,50.0,0.0,0,600.0,50.0,0.0,11.764705882352942
1.0,1.0,3.0,23.0,0.0,1,60.0,23.0,0.0,2.5
4.0,5.0,1.0,86.0,0.0,0,10442.0,21.5,0.0,120.02298850574712
1.0,1.0,1.0,82.0,51100.0,0,300.0,82.0,169.7674418604651,3.6144578313253013
3.0,5.0,1.0,112.0,0.0,0,3123.0,37.333333333333336,0.0,27.63716814159292
3.0,5.0,1.0,76.0,1125.0,0,2338.0,25.333333333333332,0.48097477554510476,30.363636363636363
1.0,1.0,1.0,86.0,0.0,0,3606.0,86.0,0.0,41.44827586206897
2.0,5.0,3.0,36.0,0.0,1,0.0,18.0,0.0,0.0
4.0,5.0,2.0,79.0,16900.0,0,6300.0,19.75,2.6821139501666402,78.75
1.0,1.0,1.0,59.0,0.0,0,6329.0,59.0,0.0,105.48333333333333
2.0,5.0,1.0,73.0,6400.0,0,2220.0,36.5,2.881584871679424,30.0
4.0,5.0,2.0,122.0,0.0,0,16827.0,30.5,0.0,136.8048780487805
2.0,5.0,1.0,66.0,42456.0,0,5385.0,33.0,7.8826587448941705,80.3731343283582
3.0,5.0,2.0,59.0,1000.0,0,5947.0,19.666666666666668,0.16812373907195696,99.11666666666666
1.0,1.0,2.0,33.0,0.0,0,516.0,33.0,0.0,15.176470588235293
2.0,5.0,1.0,63.0,0.0,0,900.0,31.5,0.0,14.0625
1.0,1.0,2.0,50.0,0.0,0,3520.0,50.0,0.0,69.01960784313725
3.0,5.0,2.0,73.0,7000.0,1,400.0,24.333333333333332,17.456359102244388,5.405405405405405
1.0,1.0,1.0,56.0,32000.0,0,3702.0,56.0,8.641641911963273,64.94736842105263
2.0,5.0,5.0,66.0,2000.0,0,1875.0,33.0,1.0660980810234542,27.98507462686567
2.0,5.0,3.0,59.0,2500.0,0,4178.0,29.5,0.5982292414453219,69.63333333333334
2.0,5.0,1.0,82.0,2000.0,0,4036.0,41.0,0.49541738915035916,48.626506024096386
2.0,5.0,3.0,50.0,0.0,0,3495.0,25.0,0.0,68.52941176470588
2.0,5.0,3.0,43.0,1500.0,0,4404.0,21.5,0.340522133938706,100.0909090909091
3.0,5.0,1.0,76.0,2500.0,0,11391.0,25.333333333333332,0.21945224719101122,147.93506493506493
1.0,1.0,2.0,26.0,5000.0,0,5315.0,26.0,0.9405568096313017,196.85185185185185
3.0,5.0,2.0,109.0,7000.0,1,10510.0,36.333333333333336,0.6659689848729902,95.54545454545455
2.0,5.0,1.0,63.0,0.0,0,3234.0,31.5,0.0,50.53125
2.0,5.0,2.0,53.0,0.0,0,1080.0,26.5,0.0,20.0
4.0,5.0,2.0,109.0,50000.0,0,8762.0,27.25,5.705808513066302,79.65454545454546
3.0,5.0,3.0,46.0,9000.0,1,6605.0,15.333333333333334,1.3623978201634876,140.53191489361703
2.0,5.0,1.0,135.0,14625.0,0,5292.0,67.5,2.763083317589269,38.911764705882355
5.0,5.0,2.0,142.0,0.0,0,16690.0,28.4,0.0,116.7132867132867
3.0,5.0,1.0,82.0,40500.0,0,13495.0,27.333333333333332,3.0008891523414345,162.59036144578315
1.0,1.0,3.0,26.0,0.0,0,4082.0,26.0,0.0,151.1851851851852
4.0,5.0,2.0,53.0,1500.0,0,9836.0,13.25,0.15248551387618176,182.14814814814815
1.0,1.0,1.0,56.0,3140.0,0,2000.0,56.0,1.569215392303848,35.08771929824562
1.0,1.0,2.0,79.0,0.0,0,0.0,79.0,0.0,0.0
3.0,5.0,3.0,112.0,0.0,0,16578.0,37.333333333333336,0.0,146.7079646017699
3.0,5.0,1.0,33.0,0.0,0,7456.0,11.0,0.0,219.2941176470588
1.0,1.0,1.0,89.0,4575.0,0,2836.0,89.0,1.612618963694043,31.511111111111113
2.0,5.0,1.0,16.0,21800.0,0,1704.0,8.0,12.785923753665688,100.23529411764706
1.0,1.0,2.0,33.0,0.0,1,290.0,33.0,0.0,8.529411764705882
1.0,1.0,1.0,82.0,1072.0,0,0.0,82.0,1072.0,0.0
1.0,1.0,1.0,59.0,28000.0,0,1200.0,59.0,23.31390507910075,20.0
1.0,1.0,3.0,59.0,0.0,1,0.0,59.0,0.0,0.0
1.0,1.0,1.0,79.0,0.0,0,360.0,79.0,0.0,4.5
2.0,5.0,1.0,56.0,0.0,0,64.0,28.0,0.0,1.1228070175438596
1.0,1.0,1.0,92.0,0.0,0,328.0,92.0,0.0,3.5268817204301075
2.0,5.0,1.0,86.0,8000.0,0,5630.0,43.0,1.420706801633813,64.71264367816092
1.0,1.0,1.0,59.0,0.0,0,2310.0,59.0,0.0,38.5
3.0,5.0,1.0,112.0,1000.0,0,3730.0,37.333333333333336,0.2680246582685607,33.008849557522126
4.0,5.0,1.0,102.0,0.0,0,13607.0,25.5,0.0,132.10679611650485
1.0,1.0,5.0,82.0,7000.0,0,100.0,82.0,69.3069306930693,1.2048192771084338
1.0,1.0,1.0,56.0,1749.0,0,0.0,56.0,1749.0,0.0
3.0,5.0,2.0,59.0,15000.0,0,16631.0,19.666666666666668,0.9018759018759018,277.18333333333334
2.0,5.0,1.0,119.0,14000.0,0,8280.0,59.5,1.6906170752324599,69.0
4.0,5.0,5.0,40.0,2000.0,0,13491.0,10.0,0.14823599169878446,329.0487804878049
